127.0.0.1 - - [07/Sep/2022:09:04:55 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [07/Sep/2022:09:04:55 +0900] "GET /study/htmlEx/ch03/myQuizpicture.html HTTP/1.1" 200 1177
0:0:0:0:0:0:0:1 - - [07/Sep/2022:09:25:48 +0900] "GET /study/htmlEx/ch03/ex07.html HTTP/1.1" 200 229
0:0:0:0:0:0:0:1 - - [07/Sep/2022:09:25:55 +0900] "GET /study/htmlEx/ch03/ex07.html HTTP/1.1" 200 214
0:0:0:0:0:0:0:1 - - [07/Sep/2022:09:25:57 +0900] "GET /study/htmlEx/ch03/ex07.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2022:09:26:00 +0900] "GET /study/htmlEx/ch03/ex07.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2022:09:26:06 +0900] "GET /study/htmlEx/ch03/ex07.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2022:09:26:16 +0900] "GET /study/htmlEx/ch03/ex07.html HTTP/1.1" 200 229
0:0:0:0:0:0:0:1 - - [07/Sep/2022:09:31:42 +0900] "GET /study/htmlEx/ch03/ex07.html HTTP/1.1" 200 668
0:0:0:0:0:0:0:1 - - [07/Sep/2022:09:32:51 +0900] "GET /study/htmlEx/ch03/ex07.html HTTP/1.1" 200 740
0:0:0:0:0:0:0:1 - - [07/Sep/2022:09:33:39 +0900] "GET /study/htmlEx/ch03/ex07.html HTTP/1.1" 200 818
0:0:0:0:0:0:0:1 - - [07/Sep/2022:09:33:59 +0900] "GET /study/htmlEx/ch03/ex07.html HTTP/1.1" 200 830
0:0:0:0:0:0:0:1 - - [07/Sep/2022:09:34:16 +0900] "GET /study/htmlEx/ch03/ex07.html HTTP/1.1" 200 816
0:0:0:0:0:0:0:1 - - [07/Sep/2022:09:34:29 +0900] "GET /study/htmlEx/ch03/ex07.html HTTP/1.1" 200 817
0:0:0:0:0:0:0:1 - - [07/Sep/2022:09:35:30 +0900] "GET /study/htmlEx/ch03/ex07.html HTTP/1.1" 200 861
0:0:0:0:0:0:0:1 - - [07/Sep/2022:09:38:12 +0900] "GET /study/htmlEx/ch03/ex08.html HTTP/1.1" 200 451
0:0:0:0:0:0:0:1 - - [07/Sep/2022:09:38:22 +0900] "GET /study/htmlEx/ch03/ex08.html HTTP/1.1" 200 452
0:0:0:0:0:0:0:1 - - [07/Sep/2022:09:40:06 +0900] "GET /study/htmlEx/ch03/ex08.html HTTP/1.1" 200 626
0:0:0:0:0:0:0:1 - - [07/Sep/2022:09:40:17 +0900] "GET /study/htmlEx/ch03/ex08.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2022:09:40:24 +0900] "GET /study/htmlEx/ch03/ex08.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2022:09:40:52 +0900] "GET /study/htmlEx/ch03/ex08.html HTTP/1.1" 200 652
0:0:0:0:0:0:0:1 - - [07/Sep/2022:09:41:07 +0900] "GET /study/htmlEx/ch03/ex08.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2022:09:41:08 +0900] "GET /study/htmlEx/ch03/ex08.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2022:09:41:08 +0900] "GET /study/htmlEx/ch03/ex08.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2022:09:41:23 +0900] "GET /study/htmlEx/ch03/ex08.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2022:09:41:38 +0900] "GET /study/htmlEx/ch03/ex08.html HTTP/1.1" 200 660
0:0:0:0:0:0:0:1 - - [07/Sep/2022:09:42:17 +0900] "GET /study/htmlEx/ch03/ex08.html HTTP/1.1" 200 908
0:0:0:0:0:0:0:1 - - [07/Sep/2022:09:43:45 +0900] "GET /study/htmlEx/ch03/ex08.html HTTP/1.1" 200 1118
0:0:0:0:0:0:0:1 - - [07/Sep/2022:09:44:10 +0900] "GET /study/htmlEx/ch03/ex08.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2022:09:44:35 +0900] "GET /study/htmlEx/ch03/ex08.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2022:09:45:09 +0900] "GET /study/htmlEx/ch03/ex08.html HTTP/1.1" 200 1336
0:0:0:0:0:0:0:1 - - [07/Sep/2022:09:45:28 +0900] "GET /study/htmlEx/ch03/ex08.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2022:09:45:31 +0900] "GET /study/htmlEx/ch03/ex08.html HTTP/1.1" 304 -
